discovered
connect
discoverServicesAndCharacteristics
enableMagnetometer
enableGyroscope
readSimpleRead
M notified!
-28.1067,49.9878,-26.5503
-28.6560,50.2930,-26.7639
-29.1138,50.5676,-27.8320
-29.5410,50.9338,-27.5879
-29.8157,51.2695,-27.5879
-30.4260,51.5747,-28.4119
-30.9143,51.8494,-28.1067
-31.7993,52.3071,-29.3884
-32.3486,52.1851,-30.7617
-32.4402,52.3071,-29.9072
-33.1116,52.3682,-30.0293
-34.0576,52.5513,-31.7078
-34.3323,52.5513,-31.3721
-35.1563,52.3987,-32.2266
-35.4309,52.1240,-31.4026
-35.7361,52.1545,-31.8604
-36.1633,51.9714,-32.4097
-36.5906,51.6663,-32.0740
-36.4990,51.5137,-31.7688
-36.9568,51.5442,-31.9519
-37.1399,51.0254,-32.5012
-37.6282,50.4456,-32.6843
-37.8418,49.5300,-32.0129
-37.9333,48.6450,-31.6772
-37.8418,48.0042,-31.1890
-37.4756,47.0276,-31.0974
-37.3230,46.3562,-30.8533
-36.9873,45.5322,-30.2734
-36.4075,44.8303,-30.0293
-35.9497,43.8843,-29.7241
-35.4614,43.4570,-29.0222
-34.8816,42.9688,-27.3743
-34.5459,42.9077,-27.4658
-34.1797,42.0532,-27.5269
-33.8135,41.9312,-27.4353
-33.4473,41.5649,-26.6418
-32.9895,41.0461,-26.5198
-32.3792,40.7410,-26.3367
-32.1350,40.6189,-26.0010
-31.1584,40.4358,-25.6042
-30.3040,39.6729,-24.2615
-29.3884,39.3372,-23.2544
-28.5339,39.4287,-23.4070
-27.8320,39.2151,-22.6135
-26.9165,39.0930,-21.6064
-26.0925,39.2456,-21.7285
-25.4517,39.2151,-21.3623
-25.1465,39.7034,-21.0266
-24.5972,40.2527,-21.3623
-24.3225,40.6189,-20.7214
-24.2004,40.8020,-20.8740
-23.8342,41.0156,-21.2708
-23.6511,41.7480,-21.5149
-23.7122,42.7551,-21.1792
-23.7427,43.1824,-21.5759
-23.8647,43.9148,-22.5220
-24.2615,44.4946,-22.7356
-24.2920,44.6167,-22.3389
-24.5667,45.5627,-23.5596
-25.2686,46.9666,-23.9868
-26.3367,48.3398,-25.4517
-27.5879,49.2859,-25.7568
-28.8086,50.3540,-27.6489
-29.7241,50.8118,-27.6489
-30.1514,51.4221,-28.1372
-30.9143,51.4221,-29.2664
-31.2195,51.9409,-29.1443
-31.3721,52.0020,-28.9917
-31.4636,52.0325,-28.9612
-31.5552,52.0630,-29.5715
-31.2805,52.0630,-29.6021
-31.3721,51.9104,-28.7781
-31.5247,52.0325,-29.7241
-31.3416,51.9104,-30.0598
-31.5247,52.1545,-29.1443
